,gu,dong,total,,
1,송파구,가락제1동,22,,
2,송파구,가락제2동,859,,
3,송파구,가락본동,563,,
4,구로구,가리봉동,98,,
5,금천구,가산동,288,,
6,강서구,가양제1동,720,,
7,강서구,가양제2동,190,,
8,강서구,가양제3동,301,,
9,종로구,가회동,69,,
10,은평구,갈현제1동,421,,
11,은평구,갈현제2동,625,,
12,강동구,강일동,925,,
13,구로구,개봉제1동,817,,
14,구로구,개봉제2동,939,,
15,구로구,개봉3동,518,,
16,강남구,개포1동,285,,
17,강남구,개포2동,233,,
18,강남구,개포4동,387,,
19,송파구,거여1동,227,,
20,송파구,거여2동,378,,
21,강동구,고덕1동,1126,,
22,강동구,고덕2동,102,,
23,구로구,고척1동,564,,
24,구로구,고척2동,728,,
25,마포구,공덕동,816,,
26,노원구,공릉1동,840,,
27,노원구,공릉2동,1050,,
28,강서구,공항동,1040,,
29,광진구,광장동,1018,,
30,중구,광희동,57,,
31,종로구,교남동,291,,
32,구로구,구로1동,696,,
33,구로구,구로2동,415,,
34,구로구,구로3동,529,,
35,구로구,구로4동,380,,
36,구로구,구로5동,729,,
37,은평구,구산동,691,,
38,광진구,구의1동,364,,
39,광진구,구의2동,572,,
40,광진구,구의3동,683,,
41,광진구,군자동,346,,
42,성동구,금호1가동,387,,
43,성동구,금호2.3가동,672,,
44,성동구,금호4가동,462,,
45,강동구,길동,1055,,
46,성북구,길음1동,1427,,
47,성북구,길음2동,282,,
48,관악구,낙성대동,300,,
49,관악구,난곡동,559,,
50,관악구,난향동,514,,
51,서대문구,남가좌1동,799,,
52,서대문구,남가좌2동,506,,
53,용산구,남영동,79,,
54,관악구,남현동,411,,
55,서초구,내곡동,1022,,
56,동작구,노량진1동,739,,
57,동작구,노량진2동,126,,
58,은평구,녹번동,715,,
59,강남구,논현1동,280,,
60,강남구,논현2동,472,,
61,광진구,능동,223,,
62,중구,다산동,202,,
63,동대문구,답십리1동,689,,
64,동대문구,답십리2동,628,,
65,영등포구,당산1동,401,,
66,영등포구,당산2동,905,,
67,영등포구,대림1동,204,,
68,영등포구,대림2동,222,,
69,영등포구,대림3동,513,,
70,동작구,대방동,805,,
71,은평구,대조동,591,,
72,강남구,대치1동,509,,
73,강남구,대치2동,592,,
74,강남구,대치4동,241,,
75,관악구,대학동,281,,
76,마포구,대흥동,143,,
77,강남구,도곡1동,585,,
78,강남구,도곡2동,892,,
79,영등포구,도림동,409,,
80,도봉구,도봉1동,351,,
81,도봉구,도봉2동,593,,
82,마포구,도화동,534,,
83,금천구,독산1동,981,,
84,금천구,독산2동,354,,
85,금천구,독산3동,425,,
86,금천구,독산4동,272,,
87,성북구,돈암1동,309,,
88,성북구,돈암2동,716,,
89,성북구,동선동,215,,
90,중구,동화동,254,,
91,강동구,둔촌1동,6,,
92,강동구,둔촌2동,736,,
93,강서구,등촌1동,473,,
94,강서구,등촌2동,489,,
95,강서구,등촌3동,608,,
96,성동구,마장동,417,,
97,송파구,마천1동,423,,
98,송파구,마천2동,355,,
99,중랑구,망우3동,312,,
100,중랑구,망우본동,611,,
101,마포구,망원1동,397,,
102,마포구,망원2동,460,,
103,중랑구,면목2동,515,,
104,중랑구,면목3.8동,434,,
105,중랑구,면목4동,409,,
106,중랑구,면목5동,209,,
107,중랑구,면목7동,419,,
108,중랑구,면목본동,625,,
109,중구,명동,45,,
110,강동구,명일1동,526,,
111,강동구,명일2동,338,,
112,양천구,목1동,930,,
113,양천구,목2동,639,,
114,양천구,목3동,463,,
115,양천구,목4동,507,,
116,양천구,목5동,959,,
117,종로구,무악동,238,,
118,중랑구,묵1동,915,,
119,중랑구,묵2동,388,,
120,영등포구,문래동,1129,,
121,송파구,문정1동,464,,
122,송파구,문정제2동,554,,
123,관악구,미성동,654,,
124,강북구,미아동,328,,
125,서초구,반포제1동,815,,
126,서초구,반포2동,795,,
127,서초구,반포3동,488,,
128,서초구,반포4동,561,,
129,서초구,반포본동,190,,
130,강서구,발산1동,1431,,
131,서초구,방배1동,376,,
132,서초구,방배2동,486,,
133,서초구,방배3동,464,,
134,서초구,방배4동,605,,
135,서초구,방배본동,503,,
136,송파구,방이1동,332,,
137,송파구,방이2동,486,,
138,도봉구,방학제1동,627,,
139,도봉구,방학2동,387,,
140,도봉구,방학3동,697,,
141,강서구,방화1동,1810,,
142,강서구,방화2동,443,,
143,강서구,방화3동,531,,
144,강북구,번1동,271,,
145,강북구,번2동,291,,
146,강북구,번3동,377,,
147,용산구,보광동,189,,
148,관악구,보라매동,545,,
149,성북구,보문동,354,,
150,종로구,부암동,175,,
151,서대문구,북가좌1동,528,,
152,서대문구,북가좌2동,697,,
153,서대문구,북아현동,469,,
154,은평구,불광1동,1043,,
155,은평구,불광2동,454,,
156,성동구,사근동,165,,
157,동작구,사당1동,328,,
158,동작구,사당2동,689,,
159,동작구,사당3동,644,,
160,동작구,사당4동,309,,
161,동작구,사당5동,311,,
162,종로구,사직동,234,,
163,강북구,삼각산동,1189,,
164,성북구,삼선동,487,,
165,강남구,삼성1동,315,,
166,강남구,삼성2동,760,,
167,관악구,삼성동,401,,
168,강북구,삼양동,570,,
169,송파구,삼전동,610,,
170,종로구,삼청동,38,,
171,노원구,상계10동,364,,
172,노원구,상계1동,884,,
173,노원구,상계2동,402,,
174,노원구,상계3.4동,491,,
175,노원구,상계5동,431,,
176,노원구,상계6.7동,1000,,
177,노원구,상계8동,931,,
178,노원구,상계9동,539,,
179,동작구,상도1동,1156,,
180,동작구,상도2동,779,,
181,동작구,상도3동,525,,
182,동작구,상도4동,624,,
183,중랑구,상봉1동,609,,
184,중랑구,상봉2동,280,,
185,마포구,상암동,974,,
186,강동구,상일동,206,,
187,마포구,서강동,628,,
188,마포구,서교동,349,,
189,관악구,서림동,329,,
190,용산구,서빙고동,302,,
191,관악구,서원동,291,,
192,서초구,서초1동,503,,
193,서초구,서초2동,448,,
194,서초구,서초3동,579,,
195,서초구,서초4동,964,,
196,성북구,석관동,663,,
197,송파구,석촌동,650,,
198,강동구,성내1동,556,,
199,강동구,성내2동,434,,
200,강동구,성내3동,478,,
201,성북구,성북동,289,,
202,마포구,성산1동,377,,
203,마포구,성산2동,926,,
204,성동구,성수1가1동,391,,
205,성동구,성수1가2동,327,,
206,성동구,성수2가1동,331,,
207,성동구,성수2가3동,215,,
208,관악구,성현동,786,,
209,강남구,세곡동,1992,,
210,중구,소공동,62,,
211,성동구,송정동,234,,
212,강북구,송중동,482,,
213,강북구,송천동,481,,
214,송파구,송파1동,484,,
215,송파구,송파2동,559,,
216,구로구,수궁동,649,,
217,은평구,수색동,215,,
218,강남구,수서동,227,,
219,강북구,수유1동,368,,
220,강북구,수유2동,439,,
221,강북구,수유3동,351,,
222,종로구,숭인1동,128,,
223,종로구,숭인2동,104,,
224,금천구,시흥1동,779,,
225,금천구,시흥2동,587,,
226,금천구,시흥3동,230,,
227,금천구,시흥4동,448,,
228,금천구,시흥5동,375,,
229,영등포구,신길1동,203,,
230,영등포구,신길3동,346,,
231,영등포구,신길4동,119,,
232,영등포구,신길5동,165,,
233,영등포구,신길6동,368,,
234,영등포구,신길7동,551,,
235,중랑구,신내1동,1451,,
236,중랑구,신내2동,516,,
237,중구,신당5동,212,,
238,중구,신당6동,20,,
239,중구,신당1동,20,,
240,중구,신당2동,20,,
241,중구,신당3동,20,,
242,중구,신당4동,99,,
243,동작구,신대방1동,532,,
244,동작구,신대방2동,547,,
245,구로구,신도림동,1228,,
246,관악구,신림동,142,,
247,은평구,신사1동,631,,
248,은평구,신사2동,421,,
249,관악구,신사동,339,,
250,강남구,신사동,349,,
251,마포구,신수동,534,,
252,관악구,신원동,256,,
253,양천구,신월1동,416,,
254,양천구,신월2동,566,,
255,양천구,신월3동,382,,
256,양천구,신월4동,628,,
257,양천구,신월5동,387,,
258,양천구,신월6동,145,,
259,양천구,신월7동,505,,
260,양천구,신정1동,572,,
261,양천구,신정2동,393,,
262,양천구,신정3동,1332,,
263,양천구,신정4동,705,,
264,양천구,신정6동,599,,
265,양천구,신정7동,581,,
266,서대문구,신촌동,221,,
267,도봉구,쌍문1동,427,,
268,도봉구,쌍문2동,386,,
269,도봉구,쌍문3동,328,,
270,도봉구,쌍문4동,445,,
271,마포구,아현동,896,,
272,성북구,안암동,194,,
273,강동구,암사1동,836,,
274,강동구,암사2동,427,,
275,강동구,암사3동,694,,
276,강남구,압구정동,747,,
277,중구,약수동,398,,
278,서초구,양재1동,1710,,
279,서초구,양재2동,567,,
280,영등포구,양평1동,425,,
281,영등포구,양평2동,580,,
282,영등포구,여의동,997,,
283,강남구,역삼1동,394,,
284,강남구,역삼2동,919,,
285,은평구,역촌동,1157,,
286,마포구,연남동,266,,
287,서대문구,연희동,614,,
288,마포구,염리동,191,,
289,강서구,염창동,1349,,
290,영등포구,영등포동,385,,
291,영등포구,영등포본동,539,,
292,송파구,오금동,855,,
293,구로구,오류1동,419,,
294,구로구,오류제2동,1561,,
295,송파구,오륜동,381,,
296,성동구,옥수동,923,,
297,성동구,왕십리2동,411,,
298,성동구,왕십리도선동,850,,
299,마포구,용강동,689,,
300,성동구,용답동,203,,
301,용산구,용문동,309,,
302,용산구,용산2가동,166,,
303,동대문구,용신동,505,,
304,강북구,우이동,408,,
305,강서구,우장산동,1421,,
306,용산구,원효로1동,451,,
307,용산구,원효로2동,360,,
308,노원구,월계1동,550,,
309,노원구,월계2동,613,,
310,노원구,월계3동,924,,
311,성북구,월곡1동,784,,
312,성북구,월곡2동,462,,
313,송파구,위례동,1506,,
314,관악구,은천동,827,,
315,중구,을지로동,14,,
316,성동구,응봉동,408,,
317,은평구,응암1동,587,,
318,은평구,응암2동,817,,
319,은평구,응암3동,405,,
320,동대문구,이문1동,385,,
321,동대문구,이문2동,460,,
322,용산구,이촌제1동,940,,
323,용산구,이촌2동,213,,
324,용산구,이태원1동,95,,
325,용산구,이태원2동,148,,
326,종로구,이화동,118,,
327,강북구,인수동,606,,
328,관악구,인헌동,458,,
329,강남구,일원1동,310,,
330,강남구,일원2동,326,,
331,강남구,일원본동,700,,
332,광진구,자양1동,408,,
333,광진구,자양2동,681,,
334,광진구,자양3동,862,,
335,광진구,자양4동,311,,
336,송파구,잠실2동,1326,,
337,송파구,잠실3동,1163,,
338,송파구,잠실4동,1284,,
339,송파구,잠실6동,408,,
340,송파구,잠실7동,192,,
341,송파구,잠실본동,475,,
342,서초구,잠원동,845,,
343,동대문구,장안1동,921,,
344,동대문구,장안2동,885,,
345,성북구,장위1동,332,,
346,성북구,장위2동,255,,
347,성북구,장위3동,267,,
348,송파구,장지동,978,,
349,중구,장충동,66,,
350,동대문구,전농1동,598,,
351,동대문구,전농2동,500,,
352,성북구,정릉1동,466,,
353,성북구,정릉2동,544,,
354,성북구,정릉3동,237,,
355,성북구,정릉4동,686,,
356,동대문구,제기동,383,,
357,관악구,조원동,266,,
358,종로구,종로1.2.3.4가동,72,,
359,종로구,종로5·6가동,35,,
360,성북구,종암동,1062,,
361,노원구,중계1동,508,,
362,노원구,중계2.3동,826,,
363,노원구,중계4동,411,,
364,노원구,중계본동,414,,
365,광진구,중곡1동,284,,
366,광진구,중곡2동,431,,
367,광진구,중곡3동,330,,
368,광진구,중곡4동,594,,
369,중구,중림동,310,,
370,관악구,중앙동,172,,
371,중랑구,중화1동,476,,
372,중랑구,중화2동,435,,
373,은평구,증산동,295,,
374,은평구,진관동,1638,,
375,도봉구,창1동,616,,
376,도봉구,창2동,749,,
377,도봉구,창3동,306,,
378,도봉구,창4동,655,,
379,도봉구,창5동,612,,
380,종로구,창신1동,56,,
381,종로구,창신2동,97,,
382,종로구,창신3동,148,,
383,서대문구,천연동,495,,
384,강동구,천호1동,567,,
385,강동구,천호2동,606,,
386,강동구,천호3동,544,,
387,중구,청구동,290,,
388,강남구,청담동,764,,
389,동대문구,청량리동,354,,
390,관악구,청룡동,353,,
391,관악구,청림동,510,,
392,종로구,청운효자동,299,,
393,용산구,청파동,287,,
394,서대문구,충현동,268,,
395,종로구,평창동,377,,
396,송파구,풍납1동,290,,
397,송파구,풍납2동,693,,
398,중구,필동,77,,
399,노원구,하계1동,354,,
400,노원구,하계2동,465,,
401,용산구,한강로동,274,,
402,용산구,한남동,340,,
403,마포구,합정동,329,,
404,성동구,행당1동,280,,
405,성동구,행당2동,726,,
406,관악구,행운동,451,,
407,종로구,혜화동,271,,
408,서대문구,홍은1동,451,,
409,서대문구,홍은2동,539,,
410,서대문구,홍제1동,495,,
411,서대문구,홍제2동,305,,
412,서대문구,홍제3동,270,,
413,강서구,화곡1동,1023,,
414,강서구,화곡2동,484,,
415,강서구,화곡3동,458,,
416,강서구,화곡4동,497,,
417,강서구,화곡6동,518,,
418,강서구,화곡8동,608,,
419,강서구,화곡본동,945,,
420,광진구,화양동,178,,
421,중구,황학동,265,,
422,동대문구,회기동,182,,
423,중구,회현동,79,,
424,용산구,효창동,201,,
425,용산구,후암동,392,,
426,동대문구,휘경1동,186,,
427,동대문구,휘경2동,476,,
428,동작구,흑석동,713,,
