gu,dong,total,age04_X.ADMI_CD.
송파구,가락1동,34,11710631
송파구,가락2동,1592,11710632
송파구,가락본동,1227,11710620
구로구,가리봉동,201,11530595
금천구,가산동,622,11545510
강서구,가양1동,1360,11500603
강서구,가양2동,410,11500604
강서구,가양3동,707,11500605
종로구,가회동,124,11110600
은평구,갈현1동,808,11380551
은평구,갈현2동,1216,11380552
강동구,강일동,1461,11740515
구로구,개봉1동,1532,11530740
구로구,개봉2동,1816,11530750
구로구,개봉3동,983,11530760
강남구,개포1동,345,11680660
강남구,개포2동,418,11680670
강남구,개포4동,724,11680690
송파구,거여1동,404,11710531
송파구,거여2동,701,11710532
강동구,고덕1동,1930,11740550
강동구,고덕2동,181,11740560
구로구,고척1동,983,11530720
구로구,고척2동,1269,11530730
마포구,공덕동,1720,11440565
노원구,공릉1동,1550,11350605
노원구,공릉2동,1952,11350600
강서구,공항동,2060,11500620
광진구,광장동,1574,11215810
중구,광희동,98,11140590
종로구,교남동,596,11110580
구로구,구로1동,1351,11530520
구로구,구로2동,710,11530530
구로구,구로3동,1031,11530540
구로구,구로4동,763,11530550
구로구,구로5동,1557,11530560
은평구,구산동,1259,11380560
광진구,구의1동,782,11215850
광진구,구의2동,1058,11215860
광진구,구의3동,1313,11215870
광진구,군자동,715,11215730
성동구,금호1가동,874,11200590
성동구,금호2.3가동,1391,11200615
성동구,금호4가동,957,11200620
강동구,길동,1996,11740685
성북구,길음1동,2444,11290660
성북구,길음2동,482,11290670
관악구,낙성대동,568,11620585
관악구,난곡동,1042,11620775
관악구,난향동,871,11620715
서대문구,남가좌1동,1312,11410690
서대문구,남가좌2동,909,11410700
용산구,남영동,152,11170530
관악구,남현동,842,11620630
서초구,내곡동,1628,11650660
동작구,노량진1동,1409,11590510
동작구,노량진2동,256,11590520
은평구,녹번동,1348,11380510
강남구,논현1동,584,11680521
강남구,논현2동,922,11680531
광진구,능동,472,11215780
중구,다산동,421,11140625
동대문구,답십리1동,1667,11230600
동대문구,답십리2동,1194,11230610
영등포구,당산1동,959,11560550
영등포구,당산2동,1789,11560560
영등포구,대림1동,408,11560700
영등포구,대림2동,421,11560710
영등포구,대림3동,1014,11560720
동작구,대방동,1420,11590660
은평구,대조동,1124,11380570
강남구,대치1동,747,11680600
강남구,대치2동,957,11680610
강남구,대치4동,448,11680630
관악구,대학동,510,11620735
마포구,대흥동,258,11440600
강남구,도곡1동,983,11680655
강남구,도곡2동,1476,11680656
영등포구,도림동,840,11560585
도봉구,도봉1동,655,11320521
도봉구,도봉2동,1182,11320522
마포구,도화동,1036,11440585
금천구,독산1동,1981,11545610
금천구,독산2동,670,11545620
금천구,독산3동,855,11545630
금천구,독산4동,512,11545640
성북구,돈암1동,615,11290580
성북구,돈암2동,1264,11290590
성북구,동선동,431,11290575
중구,동화동,480,11140665
강동구,둔촌1동,5,11740690
강동구,둔촌2동,1301,11740700
강서구,등촌1동,1086,11500520
강서구,등촌2동,991,11500530
강서구,등촌3동,1214,11500535
성동구,마장동,850,11200540
송파구,마천1동,709,11710540
송파구,마천2동,635,11710550
중랑구,망우3동,607,11260660
중랑구,망우본동,1121,11260655
마포구,망원1동,780,11440690
마포구,망원2동,852,11440700
중랑구,면목2동,1019,11260520
중랑구,면목3.8동,883,11260575
중랑구,면목4동,804,11260540
중랑구,면목5동,399,11260550
중랑구,면목7동,764,11260570
중랑구,면목본동,1283,11260565
중구,명동,68,11140550
강동구,명일1동,951,11740530
강동구,명일2동,530,11740540
양천구,목1동,1463,11470510
양천구,목2동,1317,11470520
양천구,목3동,1013,11470530
양천구,목4동,852,11470540
양천구,목5동,1518,11470550
종로구,무악동,362,11110570
중랑구,묵1동,1667,11260620
중랑구,묵2동,822,11260630
영등포구,문래동,2135,11560605
송파구,문정1동,906,11710641
송파구,문정2동,1173,11710642
관악구,미성동,1225,11620765
강북구,미아동,591,11305535
서초구,반포1동,1320,11650560
서초구,반포2동,1260,11650570
서초구,반포3동,880,11650580
서초구,반포4동,1045,11650581
서초구,반포본동,290,11650550
강서구,발산1동,2289,11500611
서초구,방배1동,758,11650600
서초구,방배2동,979,11650610
서초구,방배3동,822,11650620
서초구,방배4동,1091,11650621
서초구,방배본동,786,11650590
송파구,방이1동,625,11710561
송파구,방이2동,1024,11710562
도봉구,방학1동,1049,11320690
도봉구,방학2동,674,11320700
도봉구,방학3동,1215,11320710
강서구,방화1동,3039,11500630
강서구,방화2동,864,11500640
강서구,방화3동,1055,11500641
강북구,번1동,525,11305590
강북구,번2동,540,11305600
강북구,번3동,654,11305606
용산구,보광동,354,11170700
관악구,보라매동,1026,11620525
성북구,보문동,735,11290610
종로구,부암동,299,11110550
서대문구,북가좌1동,1074,11410710
서대문구,북가좌2동,1231,11410720
서대문구,북아현동,971,11410555
은평구,불광1동,1873,11380520
은평구,불광2동,956,11380530
성동구,사근동,332,11200550
동작구,사당1동,698,11590620
동작구,사당2동,1369,11590630
동작구,사당3동,1322,11590640
동작구,사당4동,591,11590650
동작구,사당5동,596,11590651
종로구,사직동,388,11110530
강북구,삼각산동,1919,11305575
성북구,삼선동,858,11290555
강남구,삼성1동,629,11680580
강남구,삼성2동,1427,11680590
관악구,삼성동,725,11620745
강북구,삼양동,1045,11305534
송파구,삼전동,1285,11710610
종로구,삼청동,68,11110540
노원구,상계10동,770,11350720
노원구,상계1동,1630,11350630
노원구,상계2동,696,11350640
노원구,상계3.4동,783,11350665
노원구,상계5동,784,11350670
노원구,상계6.7동,1894,11350695
노원구,상계8동,2079,11350700
노원구,상계9동,1019,11350710
동작구,상도1동,2141,11590530
동작구,상도2동,1444,11590540
동작구,상도3동,1081,11590550
동작구,상도4동,1267,11590560
중랑구,상봉1동,1165,11260580
중랑구,상봉2동,630,11260590
마포구,상암동,1602,11440740
강동구,상일동,392,11740520
마포구,서강동,1195,11440655
마포구,서교동,706,11440660
관악구,서림동,677,11620665
용산구,서빙고동,509,11170690
관악구,서원동,590,11620645
서초구,서초1동,934,11650510
서초구,서초2동,860,11650520
서초구,서초3동,1068,11650530
서초구,서초4동,1551,11650531
성북구,석관동,1181,11290810
송파구,석촌동,1335,11710600
강동구,성내1동,1077,11740640
강동구,성내2동,918,11740650
강동구,성내3동,981,11740660
성북구,성북동,562,11290525
마포구,성산1동,703,11440720
마포구,성산2동,1835,11440730
성동구,성수1가1동,777,11200650
성동구,성수1가2동,616,11200660
성동구,성수2가1동,648,11200670
성동구,성수2가3동,447,11200690
관악구,성현동,1442,11620565
강남구,세곡동,3057,11680700
중구,소공동,120,11140520
성동구,송정동,430,11200720
강북구,송중동,856,11305545
강북구,송천동,850,11305555
송파구,송파1동,1119,11710580
송파구,송파2동,976,11710590
구로구,수궁동,1209,11530790
은평구,수색동,400,11380650
강남구,수서동,570,11680750
강북구,수유1동,695,11305610
강북구,수유2동,786,11305620
강북구,수유3동,707,11305630
종로구,숭인1동,224,11110700
종로구,숭인2동,204,11110710
금천구,시흥1동,1479,11545670
금천구,시흥2동,1043,11545680
금천구,시흥3동,443,11545690
금천구,시흥4동,838,11545700
금천구,시흥5동,676,11545710
영등포구,신길1동,436,11560630
영등포구,신길3동,647,11560650
영등포구,신길4동,228,11560660
영등포구,신길5동,304,11560670
영등포구,신길6동,746,11560680
영등포구,신길7동,1037,11560690
중랑구,신내1동,2281,11260680
중랑구,신내2동,990,11260690
중구,신당1동,38,11140610
중구,신당2동,38,11140620
중구,신당3동,38,11140630
중구,신당4동,38,11140640
중구,신당5동,373,11140650
중구,신당6동,38,11140660
동작구,신대방1동,980,11590670
동작구,신대방2동,1003,11590680
구로구,신도림동,2339,11530510
관악구,신림동,346,11620695
은평구,신사1동,1162,11380631
은평구,신사2동,824,11380632
강남구,신사동,663,11680510
관악구,신사동,695,11620685
마포구,신수동,1015,11440630
관악구,신원동,507,11620655
양천구,신월1동,789,11470560
양천구,신월2동,1097,11470570
양천구,신월3동,696,11470580
양천구,신월4동,1079,11470590
양천구,신월5동,725,11470600
양천구,신월6동,255,11470610
양천구,신월7동,936,11470611
양천구,신정1동,897,11470620
양천구,신정2동,613,11470630
양천구,신정3동,2375,11470640
양천구,신정4동,1353,11470650
양천구,신정6동,1053,11470670
양천구,신정7동,1015,11470680
서대문구,신촌동,692,11410585
도봉구,쌍문1동,756,11320660
도봉구,쌍문2동,749,11320670
도봉구,쌍문3동,626,11320680
도봉구,쌍문4동,744,11320681
마포구,아현동,1910,11440555
성북구,안암동,356,11290600
강동구,암사1동,1621,11740570
강동구,암사2동,882,11740580
강동구,암사3동,1164,11740590
강남구,압구정동,1319,11680545
중구,약수동,805,11140635
서초구,양재1동,2805,11650651
서초구,양재2동,1120,11650652
영등포구,양평1동,959,11560610
영등포구,양평2동,1263,11560620
영등포구,여의동,1763,11560540
강남구,역삼1동,873,11680640
강남구,역삼2동,1755,11680650
은평구,역촌동,2219,11380625
마포구,연남동,528,11440710
서대문구,연희동,1129,11410615
마포구,염리동,368,11440610
강서구,염창동,2430,11500510
영등포구,영등포동,888,11560535
영등포구,영등포본동,1057,11560515
송파구,오금동,1980,11710570
구로구,오류1동,929,11530770
구로구,오류2동,2480,11530780
송파구,오륜동,575,11710566
성동구,옥수동,1835,11200645
성동구,왕십리2동,861,11200520
성동구,왕십리도선동,1685,11200535
마포구,용강동,1302,11440590
성동구,용답동,389,11200790
용산구,용문동,592,11170590
용산구,용산2가동,338,11170520
동대문구,용신동,977,11230536
강북구,우이동,800,11305645
강서구,우장산동,2467,11500615
용산구,원효로1동,894,11170560
용산구,원효로2동,668,11170570
노원구,월계1동,932,11350560
노원구,월계2동,1100,11350570
노원구,월계3동,1772,11350580
성북구,월곡1동,1365,11290715
성북구,월곡2동,864,11290725
송파구,위례동,3016,11710647
관악구,은천동,1567,11620605
중구,을지로동,26,11140605
성동구,응봉동,738,11200580
은평구,응암1동,1053,11380580
은평구,응암2동,1408,11380590
은평구,응암3동,732,11380600
동대문구,이문1동,718,11230740
동대문구,이문2동,825,11230750
용산구,이촌1동,1629,11170630
용산구,이촌2동,443,11170640
용산구,이태원1동,200,11170650
용산구,이태원2동,307,11170660
종로구,이화동,200,11110640
강북구,인수동,1155,11305660
관악구,인헌동,898,11620625
강남구,일원1동,583,11680730
강남구,일원2동,646,11680740
강남구,일원본동,1181,11680720
광진구,자양1동,785,11215820
광진구,자양2동,1233,11215830
광진구,자양3동,1579,11215840
광진구,자양4동,600,11215847
송파구,잠실2동,2139,11710670
송파구,잠실3동,1991,11710680
송파구,잠실4동,2222,11710690
송파구,잠실6동,847,11710710
송파구,잠실7동,400,11710720
송파구,잠실본동,1008,11710650
서초구,잠원동,1534,11650540
동대문구,장안1동,1740,11230650
동대문구,장안2동,1585,11230660
성북구,장위1동,641,11290760
성북구,장위2동,422,11290770
성북구,장위3동,474,11290780
송파구,장지동,1933,11710646
중구,장충동,134,11140580
동대문구,전농1동,1246,11230560
동대문구,전농2동,819,11230570
성북구,정릉1동,856,11290620
성북구,정릉2동,1048,11290630
성북구,정릉3동,522,11290640
성북구,정릉4동,1220,11290650
동대문구,제기동,764,11230545
관악구,조원동,532,11620725
종로구,종로1.2.3.4가동,149,11110615
종로구,종로5·6가동,0,11110630
성북구,종암동,1876,11290705
노원구,중계1동,693,11350621
노원구,중계2.3동,1569,11350625
노원구,중계4동,752,11350624
노원구,중계본동,624,11350619
광진구,중곡1동,634,11215740
광진구,중곡2동,865,11215750
광진구,중곡3동,626,11215760
광진구,중곡4동,1229,11215770
중구,중림동,715,11140680
관악구,중앙동,330,11620615
중랑구,중화1동,967,11260600
중랑구,중화2동,831,11260610
은평구,증산동,555,11380640
은평구,진관동,2655,11380690
도봉구,창1동,1099,11320511
도봉구,창2동,1418,11320512
도봉구,창3동,567,11320513
도봉구,창4동,1176,11320514
도봉구,창5동,1147,11320515
종로구,창신1동,114,11110670
종로구,창신2동,183,11110680
종로구,창신3동,287,11110690
서대문구,천연동,944,11410520
강동구,천호1동,1125,11740600
강동구,천호2동,1315,11740610
강동구,천호3동,1188,11740620
중구,청구동,550,11140645
강남구,청담동,1385,11680565
동대문구,청량리동,619,11230705
관악구,청룡동,639,11620595
관악구,청림동,1096,11620545
종로구,청운효자동,552,11110515
용산구,청파동,507,11170555
서대문구,충현동,492,11410565
종로구,평창동,718,11110560
송파구,풍납1동,564,11710510
송파구,풍납2동,1260,11710520
중구,필동,141,11140570
노원구,하계1동,699,11350611
노원구,하계2동,864,11350612
용산구,한강로동,595,11170625
용산구,한남동,729,11170685
마포구,합정동,1085,11440680
성동구,행당1동,585,11200560
성동구,행당2동,1358,11200570
관악구,행운동,917,11620575
종로구,혜화동,433,11110650
서대문구,홍은1동,859,11410660
서대문구,홍은2동,963,11410670
서대문구,홍제1동,927,11410620
서대문구,홍제2동,573,11410630
서대문구,홍제3동,537,11410640
강서구,화곡1동,2477,11500540
강서구,화곡2동,990,11500550
강서구,화곡3동,901,11500560
강서구,화곡4동,970,11500570
강서구,화곡6동,1038,11500591
강서구,화곡8동,1177,11500593
강서구,화곡본동,1799,11500590
광진구,화양동,344,11215710
중구,황학동,569,11140670
동대문구,회기동,316,11230710
중구,회현동,148,11140540
용산구,효창동,381,11170580
용산구,후암동,734,11170510
동대문구,휘경1동,388,11230720
동대문구,휘경2동,869,11230730
동작구,흑석동,1299,11590605
